"ID","movie","director","actor_1","actor_2","actor_3","year","language","score"
283,"Gone in Sixty Seconds","dominic sena","nicolas cage","angelina jolie pitt","robert duvall",2000,"English",6.5
284,"Gladiator","ridley scott","djimon hounsou","connie nielsen","oliver reed",2000,"English",8.5
285,"Minority Report","steven spielberg","tom cruise","frank grillo","jessica capshaw",2002,"English",7.7
286,"Harry Potter and the Chamber of Secrets","chris columbus","daniel radcliffe","rupert grint","emma watson",2002,"English",7.4
287,"Casino Royale","martin campbell","eva green","tobias menzies","ivana milicevic",2006,"English",8
288,"Planet of the Apes","tim burton","cary-hiroyuki tagawa","estella warren","erick avari",2001,"English",5.7
289,"Terminator 2: Judgment Day","james cameron","joe morton","jenette goldstein","s. epatha merkerson",1991,"English",8.5
290,"Public Enemies","michael mann","johnny depp","christian bale","stephen graham",2009,"English",7
291,"American Gangster","ridley scott","denzel washington","ruby dee","rza",2007,"English",7.8
292,"True Lies","james cameron","jamie lee curtis","tia carrere","tom arnold",1994,"English",7.2
293,"The Taking of Pelham 1 2 3","tony scott","denzel washington","ramon rodriguez","michael rispoli",2009,"English",6.4
294,"Little Fockers","paul weitz","robert de niro","blythe danner","teri polo",2010,"English",5.5
295,"The Other Guys","adam mckay","dwayne johnson","will ferrell","derek jeter",2010,"English",6.7
296,"Eraser","chuck russell","vanessa williams","james coburn","roma maffia",1996,"English",6.1
297,"Django Unchained","quentin tarantino","leonardo dicaprio","christoph waltz","ato essandoh",2012,"English",8.5
298,"The Hunchback of Notre Dame","gary trousdale","demi moore","jason alexander","bill fagerbakke",1996,"English",6.9
299,"The Emperor's New Groove","mark dindal","eartha kitt","wendie malick","john fiedler",2000,"English",7.3
300,"The Expendables 2","simon west","jason statham","sylvester stallone","bruce willis",2012,"English",6.7
301,"National Treasure","jon turteltaub","nicolas cage","armando riesco","annie parisse",2004,"English",6.9
302,"Eragon","stefen fangmeier","djimon hounsou","ed speleers","gary lewis",2006,"English",5.1
303,"Where the Wild Things Are","spike jonze","catherine o'hara","ryan corr","max records",2009,"English",6.8
304,"Pan","joe wright","hugh jackman","cara delevingne","nonso anozie",2015,"English",5.8
305,"Epic","chris wedge","josh hutcherson","emma kenney","troy evans",2013,"English",6.7
306,"The Tourist","florian henckel von donnersmarck","johnny depp","angelina jolie pitt","rufus sewell",2010,"English",6
307,"End of Days","peter hyams","cch pounder","mark margolis","udo kier",1999,"English",5.7
308,"Blood Diamond","edward zwick","leonardo dicaprio","djimon hounsou","stephen collins",2006,"English",8
309,"The Wolf of Wall Street","martin scorsese","leonardo dicaprio","matthew mcconaughey","jon favreau",2013,"English",8.2
310,"Batman Forever","joel schumacher","michael gough","rene auberjonois","debi mazar",1995,"English",5.4
311,"Starship Troopers","paul verhoeven","jake busey","patrick muldoon","seth gilliam",1997,"English",7.2
312,"Cloud Atlas","tom tykwer","tom hanks","jim sturgess","jim broadbent",2012,"English",7.5
313,"Legend of the Guardians: The Owls of Ga'Hoole","zack snyder","abbie cornish","richard roxburgh","anthony lapaglia",2010,"English",7
314,"Catwoman","pitof","frances conroy","christopher heyerdahl","alex borstein",2004,"English",3.3
315,"Hercules","brett ratner","dwayne johnson","rufus sewell","ingrid bolsø berdal",2014,"English",6
316,"Treasure Planet","ron clements","joseph gordon-levitt","martin short","michael wincott",2002,"English",7.1
317,"Land of the Lost","brad silberling","will ferrell","anna friel","bobb'e j. thompson",2009,"English",5.4
318,"The Expendables 3","patrick hughes","jason statham","sylvester stallone","harrison ford",2014,"English",6.1
319,"Point Break","ericson core","ray winstone","edgar ramírez","delroy lindo",2015,"English",5.3
320,"Son of the Mask","lawrence guterman","jamie kennedy","traylor howard","ben stein",2005,"English",2.2
321,"In the Heart of the Sea","ron howard","chris hemsworth","benjamin walker","frank dillane",2015,"English",7
322,"The Adventures of Pluto Nash","ron underwood","rosario dawson","randy quaid","burt young",2002,"English",3.8
323,"Green Zone","paul greengrass","matt damon","sean huze","igal naor",2010,"English",6.9
324,"The Peanuts Movie","steve martino","francesca capaldi","venus schultheis","bill melendez",2015,"English",7.2
325,"The Spanish Prisoner","david mamet","ben gazzara","felicity huffman","campbell scott",1997,"English",7.3
326,"The Mummy Returns","stephen sommers","dwayne johnson","brendan fraser","patricia velasquez",2001,"English",6.3
327,"Gangs of New York","martin scorsese","leonardo dicaprio","liam neeson","jim broadbent",2002,"English",7.5
328,"The Flowers of War","yimou zhang","christian bale","ni ni","shigeo kobayashi",2011,"Mandarin",7.6
329,"Surf's Up","ash brannon","jeff bridges","zooey deschanel","jon heder",2007,"English",6.8
330,"The Stepford Wives","frank oz","jon lovitz","matthew broderick","roger bart",2004,"English",5.2
331,"Black Hawk Down","ridley scott","ioan gruffudd","sam shepard","ewen bremner",2001,"English",7.7
332,"The Campaign","jay roach","will ferrell","thomas middleditch","katherine lanasa",2012,"English",6.2
333,"The Fifth Element","luc besson","milla jovovich","bruce willis","gary oldman",1997,"English",7.7
334,"Sex and the City 2","michael patrick king","chris noth","liza minnelli","kristin davis",2010,"English",4.3
335,"The Road to El Dorado","bibo bergeron","frank welker","rosie perez","elton john",2000,"English",6.9
336,"Ice Age: Continental Drift","steve martino","peter dinklage","josh gad","drake",2012,"English",6.6
337,"Cinderella","kenneth branagh","hayley atwell","derek jacobi","lily james",2015,"English",7
338,"The Lovely Bones","peter jackson","michael imperioli","aj michalka","tom mccarthy",2009,"English",6.7
339,"Finding Nemo","andrew stanton","alexander gould","stephen root","brad garrett",2003,"English",8.2
340,"The Lord of the Rings: The Return of the King","peter jackson","orlando bloom","billy boyd","bernard hill",2003,"English",8.9
341,"The Lord of the Rings: The Two Towers","peter jackson","christopher lee","orlando bloom","billy boyd",2002,"English",8.7
342,"Seventh Son","sergey bodrov","jeff bridges","djimon hounsou","olivia williams",2014,"English",5.5
343,"Lara Croft: Tomb Raider","simon west","angelina jolie pitt","noah taylor","chris barrie",2001,"English",5.7
344,"Transcendence","wally pfister","johnny depp","morgan freeman","clifton collins jr.",2014,"English",6.3
345,"Jurassic Park III","joe johnston","michael jeter","trevor morgan","alessandro nivola",2001,"English",5.9
346,"Rise of the Planet of the Apes","rupert wyatt","james franco","david oyelowo","tyler labine",2011,"English",7.6
347,"The Spiderwick Chronicles","mark waters","martin short","tod fennell","joan plowright",2008,"English",6.6
348,"A Good Day to Die Hard","john moore","bruce willis","cole hauser","megalyn echikunwoke",2013,"English",5.3
349,"The Alamo","john lee hancock","dennis quaid","marc blucas","jordi mollà",2004,"English",6
350,"The Incredibles","brad bird","holly hunter","craig t. nelson","lou romano",2004,"English",8
351,"Cutthroat Island","renny harlin","christopher masterson","frank langella","matthew modine",1995,"English",5.6
352,"Percy Jackson & the Olympians: The Lightning Thief","chris columbus","logan lerman","rosario dawson","steve coogan",2010,"English",5.9
353,"Men in Black","barry sonnenfeld","will smith","rip torn","linda fiorentino",1997,"English",7.3
354,"Toy Story 2","john lasseter","tom hanks","john ratzenberger","wayne knight",1999,"English",7.9
355,"Unstoppable","tony scott","denzel washington","rosario dawson","ethan suplee",2010,"English",6.8
356,"Rush Hour 2","brett ratner","mei melançon","john lone","harris yulin",2001,"English",6.6
357,"What Lies Beneath","robert zemeckis","harrison ford","amber valletta","miranda otto",2000,"English",6.6
358,"Cloudy with a Chance of Meatballs","phil lord","will forte","bobb'e j. thompson","al roker",2009,"English",7
359,"Ice Age: Dawn of the Dinosaurs","carlos saldanha","denis leary","maile flanagan","kelly keaton",2009,"English",7
360,"The Secret Life of Walter Mitty","ben stiller","adam scott","adrian martinez","joey slotnick",2013,"English",7.3
361,"Charlie's Angels","mcg","bill murray","ll cool j","kelly lynch",2000,"English",5.5
362,"The Departed","martin scorsese","leonardo dicaprio","matt damon","ray winstone",2006,"English",8.5
363,"Mulan","tony bancroft","ming-na wen","harvey fierstein","june foray",1998,"English",7.5
364,"Tropic Thunder","ben stiller","robert downey jr.","steve coogan","brandon t. jackson",2008,"English",7
365,"The Girl with the Dragon Tattoo","david fincher","robin wright","goran visnjic","joely richardson",2011,"English",7.8
366,"Die Hard with a Vengeance","john mctiernan","bruce willis","aldis hodge","kevin chamberlin",1995,"English",7.6
367,"Sherlock Holmes","guy ritchie","robert downey jr.","eddie marsan","robert maillet",2009,"English",7.6
368,"Ben-Hur","timur bekmambetov","morgan freeman","ayelet zurer","moises arias",2016,"English",6.1
369,"Atlantis: The Lost Empire","gary trousdale","leonard nimoy","jim varney","cree summer",2001,"English",6.8
370,"Alvin and the Chipmunks: The Road Chip","walt becker","bella thorne","joshua mikel","jesse mccartney",2015,"English",5
371,"Valkyrie","bryan singer","tom cruise","tom wilkinson","thomas kretschmann",2008,"English",7.1
372,"You Don't Mess with the Zohan","dennis dugan","adam sandler","sayed badreya","kevin nealon",2008,"English",5.5
373,"Pixels","chris columbus","peter dinklage","adam sandler","josh gad",2015,"English",5.6
374,"A.I. Artificial Intelligence","steven spielberg","haley joel osment","william hurt","kevin sussman",2001,"English",7.1
375,"The Haunted Mansion","rob minkoff","marsha thomason","rachael harris","marc john jefferies",2003,"English",4.9
376,"Contact","robert zemeckis","matthew mcconaughey","tom skerritt","larry king",1997,"English",7.4
377,"Hollow Man","paul verhoeven","greg grunberg","kim dickens","joey slotnick",2000,"English",5.7
378,"The Interpreter","sydney pollack","curtiss cook","george harris","michael wright",2005,"Aboriginal",6.4
379,"Percy Jackson: Sea of Monsters","thor freudenthal","logan lerman","leven rambin","brandon t. jackson",2013,"English",5.9
380,"Lara Croft Tomb Raider: The Cradle of Life","jan de bont","gerard butler","angelina jolie pitt","djimon hounsou",2003,"English",5.5
381,"Now You See Me 2","jon m. chu","daniel radcliffe","morgan freeman","sanaa lathan",2016,"English",6.9
382,"The Saint","phillip noyce","alun armstrong","michael byrne","velibor topic",1997,"English",6.2
383,"Spy Game","tony scott","brad pitt","stephen dillane","catherine mccormack",2001,"English",7
384,"Mission to Mars","brian de palma","don cheadle","connie nielsen","kim delaney",2000,"English",5.6
385,"Rio","carlos saldanha","anne hathaway","wanda sykes","will.i.am",2011,"English",7
386,"Bicentennial Man","chris columbus","robin williams","oliver platt","john michael higgins",1999,"English",6.8
387,"Volcano","mick jackson","don cheadle","anne heche","gaby hoffmann",1997,"English",5.4
388,"The Devil's Own","alan j. pakula","harrison ford","brad pitt","natascha mcelhone",1997,"English",6.1
389,"K-19: The Widowmaker","kathryn bigelow","liam neeson","christian camargo","lex shrapnel",2002,"English",6.7
390,"Fantastic Four","josh trank","tim blake nelson","reg e. cathey","tim heidecker",2015,"English",4.3
391,"Conan the Barbarian","john milius","william smith","mako","sandahl bergman",1982,"English",6.9
392,"Cinderella Man","ron howard","paddy considine","bruce mcgill","rosemarie dewitt",2005,"English",8
393,"The Nutcracker in 3D","andrey konchalovskiy","shirley henderson","nathan lane","richard e. grant",2010,"English",4.4
394,"Seabiscuit","gary ross","jeff bridges","michael angarano","michael o'neill",2003,"English",7.3
395,"Twister","jan de bont","philip seymour hoffman","alan ruck","jami gertz",1996,"English",6.3
396,"The Fast and the Furious","rob cohen","paul walker","vin diesel","jordana brewster",2001,"English",6.7
397,"Cast Away","robert zemeckis","tom hanks","paul sanchez","nick searcy",2000,"English",7.7
398,"Happy Feet","george miller","robin williams","hugh jackman","elizabeth daily",2006,"English",6.5
399,"The Bourne Supremacy","paul greengrass","matt damon","joan allen","oksana akinshina",2004,"English",7.8
400,"Air Force One","wolfgang petersen","harrison ford","gary oldman","dean stockwell",1997,"English",6.4
401,"Ocean's Eleven","steven soderbergh","brad pitt","bernie mac","elliott gould",2001,"English",7.8
402,"The Three Musketeers","paul w.s. anderson","milla jovovich","logan lerman","orlando bloom",2011,"English",5.8
403,"Hotel Transylvania","genndy tartakovsky","steve buscemi","adam sandler","jon lovitz",2012,"English",7.1
404,"Enchanted","kevin lima","jeff bennett","teala dunn","fred tatasciore",2007,"English",7.1
405,"Hannibal","","caroline dhavernas","scott thompson","hettienne park",NA,"English",8.6
406,"Safe House","daniel espinosa","denzel washington","ryan reynolds","sam shepard",2012,"English",6.8
407,"102 Dalmatians","kevin lima","ioan gruffudd","eric idle","jim carter",2000,"English",4.8
408,"Tower Heist","brett ratner","matthew broderick","gabourey sidibe","judd hirsch",2011,"English",6.2
409,"The Holiday","nancy meyers","kate winslet","rufus sewell","sarah parish",2006,"English",6.9
410,"Enemy of the State","tony scott","will smith","jake busey","lisa bonet",1998,"English",7.3
411,"It's Complicated","nancy meyers","meryl streep","hunter parrish","zoe kazan",2009,"English",6.6
412,"Ocean's Thirteen","steven soderbergh","al pacino","matt damon","brad pitt",2007,"English",6.9
413,"Open Season","roger allers","jon favreau","debra messing","jane krakowski",2006,"English",6.2
414,"Divergent","neil burger","kate winslet","theo james","mekhi phifer",2014,"English",6.7
415,"Enemy at the Gates","jean-jacques annaud","bob hoskins","gabriel thomson","clemens schick",2001,"English",7.6
416,"The Rundown","peter berg","dwayne johnson","rosario dawson","ewen bremner",2003,"English",6.7
417,"Last Action Hero","john mctiernan","f. murray abraham","tom noonan","joan plowright",1993,"English",6.2
418,"Memoirs of a Geisha","rob marshall","li gong","mako","karl yune",2005,"English",7.3
419,"The Fast and the Furious: Tokyo Drift","justin lin","amber stevens west","zachery ty bryan","nikki griffin",2006,"English",6
420,"Arthur Christmas","sarah smith","jim broadbent","imelda staunton","michael palin",2011,"English",7.1
